"sample.group"	"dataseries"	"sampleID"	"sample.id"	"original.NGS"	"original.NGS.FN"	"NGS"	"timepoint"	"FASTQ"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"f_replicate"	"f_Treatment"	"f_CellType"	"LRT_CellType"	"LRT_Treatment"	"dataseries_color"	"sample.group_color"
"Chem_GliaBAC"	"Chem"	"PRO738A9"	"Chem_GliaBAC_1"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A9_S21_L002_R1_001.fastq.gz"	"PRO738A9_S21_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaBAC_1_R1.fastq.gz"	4	"Chem_GliaBAC_1"	""	""	""	""	"1_Chem_GliaBAC"	""	"1_Chem_GliaBAC"	"1_Chem_GliaBAC"	1	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#F8766D"
"Chem_GliaBAC"	"Chem"	"PRO738A11"	"Chem_GliaBAC_2"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A11_S23_L002_R1_001.fastq.gz"	"PRO738A11_S23_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaBAC_2_R1.fastq.gz"	4	"Chem_GliaBAC_2"	""	""	""	""	"1_Chem_GliaBAC"	""	"1_Chem_GliaBAC"	"1_Chem_GliaBAC"	2	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#F8766D"
"Chem_GliaBAC"	"Chem"	"PRO738A13"	"Chem_GliaBAC_3"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A13_S25_L002_R1_001.fastq.gz"	"PRO738A13_S25_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaBAC_3_R1.fastq.gz"	4	"Chem_GliaBAC_3"	""	""	""	""	"1_Chem_GliaBAC"	""	"1_Chem_GliaBAC"	"1_Chem_GliaBAC"	3	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#F8766D"
"Chem_GliaBAC"	"Chem"	"PRO738A15"	"Chem_GliaBAC_4"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A15_S27_L002_R1_001.fastq.gz"	"PRO738A15_S27_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaBAC_4_R1.fastq.gz"	4	"Chem_GliaBAC_4"	""	""	""	""	"1_Chem_GliaBAC"	""	"1_Chem_GliaBAC"	"1_Chem_GliaBAC"	4	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#F8766D"
"Chem_GliaCtrl"	"Chem"	"PRO738A1"	"Chem_GliaCtrl_1"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A1_S13_L002_R1_001.fastq.gz"	"PRO738A1_S13_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaCtrl_1_R1.fastq.gz"	2	"Chem_GliaCtrl_1"	""	""	""	""	"2_Chem_GliaCtrl"	""	""	""	1	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#CD9600"
"Chem_GliaCtrl"	"Chem"	"PRO738A3"	"Chem_GliaCtrl_2"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A3_S15_L002_R1_001.fastq.gz"	"PRO738A3_S15_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaCtrl_2_R1.fastq.gz"	2	"Chem_GliaCtrl_2"	""	""	""	""	"2_Chem_GliaCtrl"	""	""	""	2	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#CD9600"
"Chem_GliaCtrl"	"Chem"	"PRO738A5"	"Chem_GliaCtrl_3"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A5_S17_L002_R1_001.fastq.gz"	"PRO738A5_S17_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaCtrl_3_R1.fastq.gz"	2	"Chem_GliaCtrl_3"	""	""	""	""	"2_Chem_GliaCtrl"	""	""	""	3	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#CD9600"
"Chem_GliaCtrl"	"Chem"	"PRO738A7"	"Chem_GliaCtrl_4"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A7_S19_L002_R1_001.fastq.gz"	"PRO738A7_S19_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_GliaCtrl_4_R1.fastq.gz"	2	"Chem_GliaCtrl_4"	""	""	""	""	"2_Chem_GliaCtrl"	""	""	""	4	"Chem"	"Glia"	"Glia"	"Chem"	"#F8766D"	"#CD9600"
"Chem_NonGliaBAC"	"Chem"	"PRO738A10"	"Chem_NonGliaBAC_1"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A10_S22_L002_R1_001.fastq.gz"	"PRO738A10_S22_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaBAC_1_R1.fastq.gz"	8	"Chem_NonGliaBAC_1"	""	""	""	""	""	""	"2_Chem_NonGliaBAC"	""	1	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#7CAE00"
"Chem_NonGliaBAC"	"Chem"	"PRO738A12"	"Chem_NonGliaBAC_2"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A12_S24_L002_R1_001.fastq.gz"	"PRO738A12_S24_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaBAC_2_R1.fastq.gz"	8	"Chem_NonGliaBAC_2"	""	""	""	""	""	""	"2_Chem_NonGliaBAC"	""	2	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#7CAE00"
"Chem_NonGliaBAC"	"Chem"	"PRO738A14"	"Chem_NonGliaBAC_3"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A14_S26_L002_R1_001.fastq.gz"	"PRO738A14_S26_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaBAC_3_R1.fastq.gz"	8	"Chem_NonGliaBAC_3"	""	""	""	""	""	""	"2_Chem_NonGliaBAC"	""	3	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#7CAE00"
