gene_id	A_WT_2044	A_WT_2048	A_WT_2049	A_WT_2061	A_WT_2063	A_Zfp516_2042	A_Zfp516_2043	A_Zfp516_2045	A_Zfp516_2066	A_Zfp516_2067
ENSMUSG00000000001	90.77	72.65	85.1	97.85	80.3	82.21	88.99	81.79	77.91	75.88
ENSMUSG00000000028	25.58	22.73	24.22	25.06	21.49	26.12	23.91	25.18	25.46	25.72
ENSMUSG00000000031	7323.85	6799.12	6967.31	7668.47	7965.51	7604.33	7922.7	7474.22	8559.28	8976.53
ENSMUSG00000000037	7.74	5.78	5.33	5.53	6.58	5.32	7.35	8.87	5.8	5.83
ENSMUSG00000000049	0	0.11	0.12	0.07	0.13	0	0.16	0.05	0	0
ENSMUSG00000000056	38.84	46.01	43.26	43.57	39.77	44.14	46.25	48.35	37.39	40.02
ENSMUSG00000000058	18.29	16.6	18.44	25.01	22.53	17.92	18.99	20.2	18.6	16.66
ENSMUSG00000000078	48.69	47.19	48.34	46.98	43.14	48.81	47.98	51.05	43.99	47.02
ENSMUSG00000000085	65.67	55.79	65.08	61.62	73.84	61.57	61.55	70.46	71.85	63.91
ENSMUSG00000000088	497.84	555.28	583.11	480.16	562.39	486.38	481.5	522.47	422.33	364.86
ENSMUSG00000000093	9.42	5.11	11.04	21.97	5.57	6.87	8.73	8.16	8.68	8.16
ENSMUSG00000000094	1.89	0.17	2.52	11.63	0.15	0.87	1.85	1.19	1.4	1.68
ENSMUSG00000000120	4.36	2.51	3.34	6.28	2.11	4.26	3.39	7.16	4.6	3.97
ENSMUSG00000000125	0.05	0	0	0	0.02	0	0	0.14	0	0.05
ENSMUSG00000000126	2.88	2.72	2.38	3.04	2.95	2.35	3.46	2.84	2.38	2.61
ENSMUSG00000000127	18.82	17.67	18.87	21.29	19.39	18.15	18.58	17.67	18.66	20.76
ENSMUSG00000000131	43.99	34.4	46.52	57.24	41.18	40.92	37.83	47.9	42.88	42.91
ENSMUSG00000000134	19.32	16.81	15.46	22.91	18.85	18.4	18.55	19.31	21.12	22.92
ENSMUSG00000000142	10.4	5.97	8.66	11.2	7.07	9.44	10.33	12.51	8.6	7.95
