"ENSMUSG"	"row_names"
"ENSMUSG00000086503"	1
"ENSMUSG00000069045"	2
"ENSMUSG00000069049"	3
"ENSMUSG00000056673"	4
"ENSMUSG00000068457"	5
"ENSMUSG00000052217"	6
"ENSMUSG00000113525"	7
"ENSMUSG00000055609"	8
"ENSMUSG00000006574"	9
"ENSMUSG00000052187"	10
"ENSMUSG00000018830"	11
"ENSMUSG00000027869"	12
"ENSMUSG00000098178"	13
"ENSMUSG00000064358"	14
"ENSMUSG00000025270"	15
"ENSMUSG00000028644"	16
"ENSMUSG00000044468"	17
"ENSMUSG00000069917"	18
"ENSMUSG00000069919"	19
"ENSMUSG00000039114"	20
"ENSMUSG00000052305"	21
"ENSMUSG00000073940"	22
"ENSMUSG00000023216"	23
"ENSMUSG00000054146"	24
"ENSMUSG00000064325"	25
"ENSMUSG00000107176"	26
"ENSMUSG00000106106"	27
"ENSMUSG00000000303"	28
"ENSMUSG00000096768"	29
"ENSMUSG00000029866"	30
"ENSMUSG00000082127"	31
"ENSMUSG00000022054"	32
"ENSMUSG00000020908"	33
"ENSMUSG00000027562"	34
"ENSMUSG00000064354"	35
"ENSMUSG00000045394"	36
"ENSMUSG00000042812"	37
"ENSMUSG00000031285"	38
"ENSMUSG00000113555"	39
"ENSMUSG00000059430"	40
"ENSMUSG00000065037"	41
"ENSMUSG00000068122"	42
"ENSMUSG00000100131"	43
"ENSMUSG00000026532"	44
"ENSMUSG00000069014"	45
"ENSMUSG00000064357"	46
"ENSMUSG00000110040"	47
"ENSMUSG00000073400"	48
"ENSMUSG00000078901"	49
"ENSMUSG00000022836"	50
"ENSMUSG00000076138"	51
"ENSMUSG00000038871"	52
"ENSMUSG00000112449"	53
"ENSMUSG00000042066"	54
"ENSMUSG00000073640"	55
"ENSMUSG00000020875"	56
"ENSMUSG00000028717"	57
"ENSMUSG00000021268"	58
"ENSMUSG00000030000"	59
"ENSMUSG00000034248"	60
"ENSMUSG00000053024"	61
"ENSMUSG00000042351"	62
"ENSMUSG00000027078"	63
"ENSMUSG00000062515"	64
"ENSMUSG00000025407"	65
"ENSMUSG00000025889"	66
"ENSMUSG00000051839"	67
"ENSMUSG00000028262"	68
"ENSMUSG00000035202"	69
"ENSMUSG00000030399"	70
"ENSMUSG00000069814"	71
"ENSMUSG00000021943"	72
"ENSMUSG00000031972"	73
"ENSMUSG00000044645"	74
"ENSMUSG00000034664"	75
"ENSMUSG00000053399"	76
"ENSMUSG00000015342"	77
"ENSMUSG00000026678"	78
"ENSMUSG00000078889"	79
"ENSMUSG00000045871"	80
"ENSMUSG00000000094"	81
"ENSMUSG00000022055"	82
"ENSMUSG00000064337"	83
